doc_id,scheme,ministry_or_state,language,source_url,retrieved,status
myscheme_pm_kisan.md,PM-KISAN,Ministry of Agriculture and Farmers Welfare,en,https://www.myscheme.gov.in/schemes/pm-kisan,2026-08-27,full
myscheme_pmay_g.md,PMAY-Gramin,Ministry of Rural Development,en,https://www.myscheme.gov.in/schemes/pmay-g,2026-08-27,full
myscheme_pmfby.md,PMFBY,Ministry of Agriculture and Farmers Welfare,en,https://www.myscheme.gov.in/schemes/pmfby,2026-08-27,partial: details/objectives only
myscheme_kcc.md,Kisan Credit Card,Ministry of Agriculture and Farmers Welfare,en,https://www.myscheme.gov.in/schemes/kcc,2026-08-27,partial: benefits/eligibility missing
myscheme_pms_sc_gujarat.md,Post-Matric Scholarship SC (Gujarat variant),Gujarat / Min. of Social Justice & Empowerment,en,https://www.myscheme.gov.in/schemes/pmsscs-g,2026-08-27,partial: details only
pms_sc_guidelines_rajasthan.pdf,Post-Matric Scholarship SC — central guidelines (Rajasthan copy),Rajasthan SJE / Min. of Social Justice & Empowerment,en,https://sje.rajasthan.gov.in/Schemes/sc%20pms.pdf,2026-08-27,PDF 14pp; parsed to .txt by ingest/parse.py
pm_kisan_faq.pdf,PM-KISAN official FAQ,Ministry of Agriculture and Farmers Welfare,en,https://web.archive.org/web/20190711070354/http://www.pmkisan.gov.in/Documents/FAQPMKISAN.PDF,2026-08-27,archived copy (original geo-blocked from current network); 8pp
pm_kisan_og_amendment.pdf,PM-KISAN amendment to operational guidelines,Ministry of Agriculture and Farmers Welfare,en,https://web.archive.org/web/20190711073949/http://www.pmkisan.gov.in/Documents/Amendment%20to%20OG-converted.pdf,2026-08-27,archived copy; 1pp
pm_kisan_og_clarifications.pdf,PM-KISAN clarifications on operational guidelines,Ministry of Agriculture and Farmers Welfare,en,https://web.archive.org/web/20190712011243/http://pmkisan.gov.in/Documents/clarification_on_OGs_of_PMKISAN.PDF,2026-08-27,archived copy; 1pp
(pending) pmayg_framework_english.pdf,PMAY-G Framework for Implementation,Ministry of Rural Development,en,https://web.archive.org/web/20211018211026/https://pmayg.nic.in/netiay/Document/English_Book_Final.pdf,,PENDING: archive snapshot truncated at exactly 1 MiB from current network; re-fetch via VPN or from India
pm_kisan.md,PM-KISAN,sample,en,(hand-written placeholder in data/samples),2026-08-24,sample — retire once real corpus covers it
post_matric_scholarship.md,PMS-SC,sample,en,(hand-written placeholder in data/samples),2026-08-24,sample — retire once real corpus covers it
pmay_gramin.md,PMAY-Gramin,sample,en,(hand-written placeholder in data/samples),2026-08-24,sample — retire once real corpus covers it
